               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.047415,             0.12592,            0.026495,              0.6479,             0.44627,             0.46833,             0.25718,            0.046854,             0.14116,            0.026992,           0.0081784,           0.0081784,           0.0081784
                  94,            0.048014,             0.13132,            0.026225,             0.70256,             0.42746,             0.46744,             0.25586,             0.04677,             0.14062,            0.027029,           0.0081586,           0.0081586,           0.0081586
                  95,            0.047281,             0.12855,            0.026392,             0.68855,             0.42638,             0.47413,             0.25288,            0.047223,             0.14217,            0.026915,           0.0081388,           0.0081388,           0.0081388
                  96,            0.046768,             0.12592,            0.026272,             0.67483,             0.42545,             0.47092,             0.25376,            0.047062,             0.14368,            0.028309,            0.008119,            0.008119,            0.008119
                  97,            0.047326,             0.12781,            0.026328,             0.67653,             0.43546,             0.46706,             0.25572,            0.046954,             0.14138,            0.027136,           0.0080992,           0.0080992,           0.0080992
                  98,            0.047121,              0.1276,            0.026129,             0.66191,              0.4312,             0.46008,             0.25026,             0.04711,             0.14389,            0.026632,           0.0080794,           0.0080794,           0.0080794
                  99,            0.047089,             0.12802,            0.025965,             0.66528,             0.43859,             0.45705,             0.25554,            0.046522,             0.14396,            0.026519,           0.0080596,           0.0080596,           0.0080596
                 100,            0.046913,             0.12613,            0.025402,             0.67755,             0.40808,             0.45837,             0.24372,            0.047748,             0.14441,            0.026967,           0.0080398,           0.0080398,           0.0080398
                 101,            0.046106,             0.12111,            0.025065,             0.67222,             0.40399,             0.44481,             0.23806,            0.047333,             0.14217,            0.028093,             0.00802,             0.00802,             0.00802
                 102,            0.047263,             0.12567,            0.025707,             0.70099,             0.42495,             0.47234,             0.25722,            0.046677,             0.14266,            0.027686,           0.0080002,           0.0080002,           0.0080002
                 103,            0.046387,             0.11942,            0.025345,             0.66424,              0.4349,             0.46344,             0.25171,            0.047286,             0.14315,            0.027337,           0.0079804,           0.0079804,           0.0079804
                 104,            0.046592,             0.12165,            0.025044,             0.73671,             0.40366,             0.48757,             0.26251,             0.04675,             0.14141,            0.027003,           0.0079606,           0.0079606,           0.0079606
                 105,            0.047214,             0.12788,            0.025222,             0.67062,             0.44571,             0.48944,              0.2562,            0.046833,             0.14142,            0.027722,           0.0079408,           0.0079408,           0.0079408
                 106,            0.046668,             0.12442,            0.025507,             0.60931,             0.43004,              0.4501,             0.25303,            0.046559,             0.14189,            0.027905,            0.007921,            0.007921,            0.007921
                 107,            0.046657,             0.12642,            0.025552,              0.6705,             0.44741,             0.46978,             0.25859,            0.046494,             0.14143,            0.027413,           0.0079012,           0.0079012,           0.0079012
                 108,            0.046385,             0.12637,             0.02487,              0.7104,             0.41621,             0.47021,             0.26517,            0.046107,             0.14222,            0.026579,           0.0078814,           0.0078814,           0.0078814
                 109,            0.045488,             0.12305,            0.024386,             0.59405,             0.45862,             0.46406,             0.26152,            0.046398,             0.14055,            0.026629,           0.0078616,           0.0078616,           0.0078616
                 110,            0.046106,             0.12804,            0.025014,             0.61306,             0.45267,             0.47917,             0.26274,            0.046498,             0.14075,            0.026493,           0.0078418,           0.0078418,           0.0078418
                 111,            0.045761,             0.12399,            0.024923,             0.70216,             0.45468,              0.4857,             0.26832,            0.046193,             0.14056,            0.026502,            0.007822,            0.007822,            0.007822
                 112,             0.04614,             0.12707,            0.024992,             0.69565,             0.42951,              0.4768,             0.26921,            0.045949,             0.14137,            0.026091,           0.0078022,           0.0078022,           0.0078022
                 113,            0.046261,             0.12461,            0.024653,             0.70491,             0.43969,             0.46908,             0.26053,            0.046495,             0.14129,            0.026707,           0.0077824,           0.0077824,           0.0077824
                 114,            0.046713,             0.12668,            0.024678,             0.66012,             0.46015,             0.49894,             0.27017,            0.046358,             0.14071,             0.02601,           0.0077626,           0.0077626,           0.0077626
                 115,            0.046879,             0.12533,            0.024188,             0.72145,             0.43672,             0.46338,             0.25929,            0.046432,             0.14322,            0.026263,           0.0077428,           0.0077428,           0.0077428
                 116,            0.045951,             0.12206,            0.024027,             0.68617,             0.43887,             0.47432,             0.26351,            0.046122,             0.14131,            0.026571,            0.007723,            0.007723,            0.007723
                 117,             0.04685,             0.12829,            0.024471,             0.70426,             0.42558,              0.4724,             0.26918,            0.045778,             0.14042,            0.026941,           0.0077032,           0.0077032,           0.0077032
                 118,            0.045995,             0.12281,            0.024668,             0.71327,              0.4211,             0.47959,             0.26719,             0.04628,             0.14118,            0.026198,           0.0076834,           0.0076834,           0.0076834
                 119,            0.045719,             0.12333,            0.024376,             0.71751,             0.42361,             0.48877,             0.27121,            0.045849,             0.14061,            0.025928,           0.0076636,           0.0076636,           0.0076636
                 120,            0.045537,             0.12486,            0.024143,             0.61802,             0.44734,             0.47644,             0.26635,            0.045993,             0.14156,             0.02621,           0.0076438,           0.0076438,           0.0076438
                 121,            0.046067,             0.12528,            0.024334,             0.60048,             0.45861,             0.46917,             0.26147,            0.046169,             0.14057,            0.025862,            0.007624,            0.007624,            0.007624
                 122,            0.045981,             0.12515,            0.023992,              0.6998,             0.43833,             0.47369,             0.26613,            0.045601,             0.14139,            0.025999,           0.0076042,           0.0076042,           0.0076042
                 123,             0.04564,             0.12374,            0.023298,             0.70968,             0.44756,             0.47382,             0.26592,            0.046245,              0.1409,            0.025915,           0.0075844,           0.0075844,           0.0075844
                 124,            0.046118,             0.12566,            0.024122,             0.60223,             0.47425,             0.47689,             0.26259,             0.04624,             0.14169,            0.025884,           0.0075646,           0.0075646,           0.0075646
                 125,            0.044975,             0.12331,            0.023499,             0.65559,             0.46804,             0.47884,             0.26182,            0.046161,             0.14221,            0.026523,           0.0075448,           0.0075448,           0.0075448
                 126,             0.04527,             0.12145,            0.023504,             0.72112,             0.42537,             0.48973,             0.26888,            0.046458,             0.14298,            0.025987,            0.007525,            0.007525,            0.007525
                 127,            0.044762,             0.12173,            0.023458,             0.73654,             0.42699,             0.47678,             0.27101,            0.045845,             0.14264,            0.025597,           0.0075052,           0.0075052,           0.0075052
                 128,            0.045631,             0.12634,            0.023637,             0.64073,             0.45979,             0.47125,             0.26777,            0.045325,             0.14083,             0.02573,           0.0074854,           0.0074854,           0.0074854
                 129,            0.045369,             0.12406,            0.023462,             0.70278,             0.45087,             0.48561,              0.2681,            0.045607,             0.14081,            0.026433,           0.0074656,           0.0074656,           0.0074656
                 130,            0.045942,             0.12351,            0.023328,             0.72324,             0.41621,             0.45788,             0.25669,            0.046748,             0.14367,            0.027149,           0.0074458,           0.0074458,           0.0074458
                 131,            0.045668,             0.12357,            0.023256,             0.68281,              0.4461,             0.46606,             0.26127,            0.046469,             0.14202,             0.02605,            0.007426,            0.007426,            0.007426
                 132,            0.045934,             0.12298,            0.023138,             0.67097,             0.47434,             0.47727,             0.26843,            0.045904,             0.14212,            0.025937,           0.0074062,           0.0074062,           0.0074062
                 133,            0.045238,             0.12111,             0.02315,             0.65313,             0.43912,             0.48787,             0.26503,            0.046391,             0.14361,            0.026479,           0.0073864,           0.0073864,           0.0073864
                 134,            0.045381,             0.12162,            0.023352,              0.7449,             0.42678,             0.47834,             0.26815,            0.045988,             0.14131,              0.0264,           0.0073666,           0.0073666,           0.0073666
                 135,            0.045328,             0.12182,            0.023335,             0.63672,             0.47997,             0.47341,             0.26509,            0.045893,             0.14192,             0.02604,           0.0073468,           0.0073468,           0.0073468
                 136,             0.04527,             0.12306,            0.022953,             0.65856,             0.43736,             0.48359,               0.269,            0.045764,             0.14245,            0.025769,            0.007327,            0.007327,            0.007327
                 137,            0.045328,              0.1244,             0.02296,             0.70751,             0.44211,             0.47657,             0.27207,            0.045937,             0.14197,            0.026761,           0.0073072,           0.0073072,           0.0073072
                 138,            0.045312,             0.12264,            0.023228,             0.63772,               0.461,             0.47113,             0.26718,            0.046019,             0.14134,             0.02667,           0.0072874,           0.0072874,           0.0072874
                 139,            0.045629,             0.12546,            0.023301,             0.64834,             0.45214,             0.48329,             0.27146,            0.046375,             0.14334,            0.025643,           0.0072676,           0.0072676,           0.0072676
                 140,            0.044726,             0.12281,            0.022455,             0.73106,             0.44166,             0.47751,             0.27104,            0.045822,             0.14186,            0.025681,           0.0072478,           0.0072478,           0.0072478
                 141,            0.044615,              0.1195,            0.022481,             0.71666,             0.44724,             0.49833,               0.278,            0.045903,             0.14178,            0.026555,            0.007228,            0.007228,            0.007228
                 142,            0.044515,             0.11954,            0.022542,             0.66945,             0.43575,              0.4809,             0.27376,            0.045574,             0.14154,            0.025509,           0.0072082,           0.0072082,           0.0072082
                 143,            0.044057,             0.12028,            0.021939,             0.63547,             0.47122,             0.49117,             0.28025,            0.045486,             0.14219,            0.025379,           0.0071884,           0.0071884,           0.0071884
                 144,            0.044988,             0.12006,             0.02246,             0.71241,             0.44058,             0.47091,             0.27102,            0.045975,              0.1451,            0.025532,           0.0071686,           0.0071686,           0.0071686
                 145,            0.045153,             0.12015,            0.022845,             0.66923,             0.45318,             0.47509,             0.27129,            0.045934,             0.14268,            0.024811,           0.0071488,           0.0071488,           0.0071488
                 146,            0.043984,             0.11936,            0.022006,             0.69102,             0.46473,             0.48472,             0.27573,            0.045351,               0.142,             0.02571,            0.007129,            0.007129,            0.007129
                 147,              0.0442,             0.11936,             0.02178,             0.63466,             0.51606,             0.49049,             0.27909,            0.045596,             0.14323,            0.025194,           0.0071092,           0.0071092,           0.0071092
                 148,            0.044711,             0.12393,            0.022456,             0.66348,             0.46349,             0.48176,             0.27049,            0.046117,             0.14368,            0.026028,           0.0070894,           0.0070894,           0.0070894
                 149,            0.044305,             0.11848,            0.022403,              0.6576,             0.43922,             0.48705,              0.2735,            0.045937,             0.14319,            0.025057,           0.0070696,           0.0070696,           0.0070696
                 150,            0.044435,             0.12142,            0.022001,             0.66825,             0.49426,             0.49189,             0.28276,            0.045269,             0.14177,            0.025049,           0.0070498,           0.0070498,           0.0070498
                 151,            0.044193,             0.11909,            0.021861,             0.65883,             0.45901,              0.4818,              0.2804,            0.045674,             0.14426,            0.025253,             0.00703,             0.00703,             0.00703
                 152,            0.043693,             0.12016,            0.021466,             0.72968,             0.45332,             0.48863,             0.27562,            0.045758,             0.14253,             0.02573,           0.0070102,           0.0070102,           0.0070102
                 153,            0.044588,             0.11869,            0.022208,             0.67008,             0.45201,             0.47892,             0.27427,            0.045262,             0.14302,            0.024884,           0.0069904,           0.0069904,           0.0069904
                 154,            0.044173,             0.12138,            0.021886,             0.68498,             0.44375,             0.48015,              0.2788,            0.045756,             0.14493,            0.024798,           0.0069706,           0.0069706,           0.0069706
                 155,            0.045177,             0.11909,            0.022213,             0.75501,             0.42858,             0.49613,             0.27546,             0.04581,             0.14153,            0.026002,           0.0069508,           0.0069508,           0.0069508
                 156,            0.045097,             0.12028,            0.022101,             0.66614,             0.48175,             0.51162,             0.27647,            0.046005,             0.14215,            0.025404,            0.006931,            0.006931,            0.006931
                 157,            0.045028,             0.12262,            0.021602,             0.74007,             0.45139,             0.50686,             0.27947,             0.04563,             0.14164,            0.024497,           0.0069112,           0.0069112,           0.0069112
                 158,            0.044254,             0.12017,            0.021456,             0.65594,             0.47419,             0.49083,             0.28525,            0.044981,             0.14157,            0.024922,           0.0068914,           0.0068914,           0.0068914
                 159,            0.044826,             0.12165,             0.02192,             0.66037,              0.4598,             0.49419,             0.28005,            0.045284,             0.14176,            0.025556,           0.0068716,           0.0068716,           0.0068716
